City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,ossora,0,RU,1538269925,100,59.24,163.07,46.09,5.06
88,husavik,48,CA,1538269882,77,50.56,-96.99,43.21,8.52
89,airai,0,TL,1538269984,59,-8.93,125.41,75.88,2.59
90,okha,24,RU,1538269984,67,53.59,142.95,52.03,8.63
91,waycross,1,US,1538267880,90,31.21,-82.35,80.6,5.82
92,port lincoln,80,AU,1538269934,85,-34.72,135.86,58.51,17.58
93,bayir,75,TR,1538268600,83,37.27,28.22,69.8,11.41
94,esmeraldas,75,BR,1538265600,83,-19.76,-44.31,69.8,6.93
95,bereda,8,ES,1538269200,100,43.27,-7.54,57.2,3.36
96,santa lucia,5,IT,1538265300,63,39.93,9.66,64.4,9.17
97,yellowknife,75,CA,1538267040,90,62.45,-114.38,32.0,10.29
98,maniitsoq,88,GL,1538269986,95,65.42,-52.9,37.54,13.11
99,pisco,0,PE,1538265600,30,-13.71,-76.2,71.6,16.11
100,ostrovnoy,8,RU,1538269986,92,68.05,39.51,24.4,10.98
101,carnarvon,0,ZA,1538269917,14,-30.97,22.13,44.65,8.63
102,byron bay,90,AU,1538269200,87,-28.65,153.62,60.8,9.17
103,portland,90,US,1538268960,56,45.52,-122.67,66.02,3.36
104,boksitogorsk,92,RU,1538269987,93,59.47,33.85,34.57,6.62
105,gat,36,SN,1538269987,85,14.69,-16.54,79.3,6.96
106,ulaangom,44,MN,1538269987,76,49.98,92.07,34.21,1.7
107,castro,56,CL,1538269987,96,-42.48,-73.76,37.81,8.08
108,natal,40,BR,1538265600,69,-5.81,-35.21,80.6,13.87
109,barwadih,32,IN,1538269987,79,26.9,84.87,78.31,4.5
110,birjand,0,IR,1538265600,21,32.86,59.22,48.2,4.7
111,ancud,12,CL,1538269892,79,-41.87,-73.83,39.52,8.41
112,hobart,20,AU,1538269200,44,-42.88,147.33,60.8,18.34
113,tuktoyaktuk,75,CA,1538266500,86,69.44,-133.03,26.6,2.24
114,bethel,75,US,1538268780,52,60.79,-161.76,64.94,12.75
115,sao filipe,88,CV,1538269971,100,14.9,-24.5,77.32,8.41
116,port elizabeth,1,US,1538268900,80,39.31,-74.98,66.92,5.82
117,lethem,8,GY,1538269989,55,3.38,-59.8,85.69,9.53
118,manjacaze,92,MZ,1538269989,61,-24.71,33.88,70.75,18.81
119,pankrushikha,8,RU,1538269989,53,53.83,80.35,46.54,11.65
120,kavaratti,36,IN,1538269989,100,10.57,72.64,80.74,6.4
121,biak,88,ID,1538269989,100,-0.91,122.88,75.16,5.06
122,saint anthony,1,US,1538265360,30,43.97,-111.68,75.02,5.82
123,georgetown,0,GY,1538265600,88,6.8,-58.16,78.8,4.7
124,coquimbo,64,CL,1538265600,87,-29.95,-71.34,55.4,3.36
125,aklavik,75,CA,1538265600,74,68.22,-135.01,33.8,6.93
126,kodiak,90,US,1538268780,86,39.95,-94.76,60.08,4.7
127,salinas,1,US,1538267700,60,36.67,-121.66,69.08,11.41
128,saint-philippe,75,CA,1538268900,81,45.36,-73.48,55.4,5.82
129,saldanha,44,PT,1538269991,76,41.42,-6.55,59.05,3.15
130,muros,0,ES,1538269200,100,42.77,-9.06,60.8,4.72
131,micheweni,92,TZ,1538269991,100,-4.97,39.83,77.05,14.0
132,bulgan,0,MN,1538269991,65,48.81,103.53,21.7,2.59
133,cherskiy,68,RU,1538269928,88,68.75,161.3,38.89,4.05
134,sola,90,FI,1538268600,93,62.78,29.36,39.2,10.29
135,guerrero negro,0,MX,1538269992,50,27.97,-114.04,83.35,9.64
136,san jose,80,PH,1538269993,97,15.79,120.99,75.52,1.48
137,berdigestyakh,88,RU,1538269993,83,62.1,126.7,36.37,4.72
138,derzhavinsk,8,KZ,1538269993,66,51.1,66.31,42.58,9.19
139,mayo,40,CA,1538265600,24,63.59,-135.9,48.2,2.24
